px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0272407	-0.0272407	0	0	0	0	0	0	0	0	0	0.00168169
1.53579	-0.119506	1.29033	2.01204e-17	2.9573e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.00248523
1.61542	0.0206949	1.77309	-0.0508974	-0.0274501	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0.486991
3.83228	-0.0674308	3.20586	-0.841017	0.123143	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	5.78953
3.90947	0.0821591	3.22074	-0.3318	0.149448	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	1.22749
6.85552	0.407138	3.28733	0.491284	0.758958	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	90.5781
6.76932	0.440566	3.08923	0.560857	0.894561	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	102.73
9.09659	0.646531	1.9625	0.348591	0.161982	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	161.839
9.08006	0.725793	2.49909	0.366197	0.158541	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	341.39
11.5393	1.65639	2.9406	0.36806	0.031756	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	530.73
11.5025	1.61778	2.71205	0.377448	0.0649813	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	2103.36
13.6134	2.32429	2.39841	0.314656	-0.0271869	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	836.231
13.6332	2.29154	2.53856	0.283824	-0.0600033	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	4536.34
16.5737	2.888	3.44909	0.138642	-0.127696	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1075.79
16.4833	2.86625	2.97069	0.136879	-0.134188	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	7418.08
19.0166	3.69608	2.88313	0.370671	0.144879	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1392.32
19.063	3.72047	2.71162	0.406202	0.200351	19.363	3.87122	18.923	3.74161	2.61382	0.95648	12958.5
21.326	4.7341	2.74333	0.470261	0.0928073	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	2002.12
21.3875	4.74405	2.89252	0.448819	0.0658323	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	21674.5
24.0574	5.56958	3.08196	0.209023	-0.174901	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	2568.53
24.1534	5.59736	3.16439	0.194115	-0.190837	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	30710
